region,n_obs,pct_of_all_obs,n_unique_drifters,mean_speed_m_s,std_speed_m_s,first_obs,last_obs,coverage_span_days
Gulf of Mexico,636136,0.3225599914067296,389.0,0.37794328532666766,0.3103341060063575,1999-01-11 11:00:00,2022-10-31 00:00:00,8693.0
Caribbean Sea,934881,0.47404204026546953,698.0,0.30024787572998396,0.21392614708429258,1998-10-18 10:00:00,2022-10-31 00:00:00,8778.0
North Sea,103121,0.05228867549368902,137.0,0.23690319568899965,0.16703340345045176,1992-01-22 20:00:00,2022-10-31 00:00:00,11239.0
Mediterranean Sea,1238750,0.6281222715819985,499.0,0.21436500628582275,0.15036021634818594,1998-06-15 21:00:00,2022-10-31 00:00:00,8903.0
Persian Gulf,0,0.0,0.0,,,,,
Strait of Malacca,13711,0.0069523184384749,71.0,0.34860877830863035,0.29738827645214344,2000-09-03 23:00:00,2020-02-03 02:00:00,7091.0
South China Sea,880789,0.4466140766615031,547.0,0.34493206999611314,0.24668938427738774,2003-10-13 07:00:00,2022-10-30 19:00:00,6957.0
East China Sea,498475,0.2527574162073354,519.0,0.42530192946924733,0.29514950941957413,1999-06-24 06:00:00,2022-08-04 13:00:00,8442.0
Bay of Bengal,792583,0.40188822149527764,363.0,0.3255041682093117,0.22215048750931005,2000-07-14 15:00:00,2022-03-19 12:00:00,7917.0
Gulf of Guinea,736908,0.37365757974324715,382.0,0.32271753274539633,0.20479814416082845,2000-07-28 20:00:00,2022-10-31 00:00:00,8129.0
Unclassified,191465530,97.08477387144403,,,,,,
